"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "HTML", "XML", "SCSS", "comment", "blank", "total"
"e:\Coding\tcg-database-base\tcg-database\pages\MaterialsPage\MaterialsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\MaterialsPage\MaterialsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\NoPage\NoPage.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\Coding\tcg-database-base\tcg-database\pages\NoPage\NoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\Coding\tcg-database-base\tcg-database\pages\NullsPage\NullsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\NullsPage\NullsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\SetPage\SetPage.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 3, 23
"e:\Coding\tcg-database-base\tcg-database\pages\SetPage\SetPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 3, 68
"e:\Coding\tcg-database-base\tcg-database\pages\TerasPage\TerasPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\TerasPage\TerasPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\WatersPage\WatersPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\WatersPage\WatersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\WindsPage\WindsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\WindsPage\WindsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 8, 96
"e:\Coding\tcg-database-base\tcg-database\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"e:\Coding\tcg-database-base\tcg-database\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Coding\tcg-database-base\tcg-database\routes\api\cards.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Coding\tcg-database-base\tcg-database\routes\api\sets.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
